FBin        FFTr             FFTi             SpectraPower
1DD       FFFFFF53         000000D0         0000000000011DE9
1DE       FFFFFF52         FFFFFF00         0000000000017644
1DF       0000008D         00000186         0000000000029FCD
1E0       0000009D         FFFFFDD0         0000000000052949
1E1       0000004D         000001B7         00000000000307FA
1E2       FFFFFFF9         FFFFFFAB         0000000000001C6A
1E3       00000087         FFFFFF0B         00000000000131AA
1E4       FFFFFEF0         00000000         0000000000012100
1E5       000001EC         000000AE         00000000000427D4
1E6       FFFFFD0A         FFFFFFF6         000000000008C4C8
1E7       000001E7         00000061         000000000003C332
1E8       FFFFFF69         FFFFFFBA         0000000000006C35
1E9       000000C3         00000072         000000000000C74D
1EA       00000046         FFFFFEE1         00000000000154E5
1EB       FFFFFF1A         000001F9         000000000004B2D5
1EC       FFFFFFDB         FFFFFD7E         0000000000064F5D
1ED       00000184         000000EA         00000000000321F4
1EE       0000000C         000001A0         000000000002A490
1EF       000000EE         FFFFFD18         0000000000094F84
1F0       FFFFFF54         0000015A         0000000000024734
1F1       FFFFFF45         FFFFFF9A         000000000000B13D
1F2       00000120         00000118         0000000000027640
1F3       FFFFFEB0         FFFFFD92         000000000007A044
1F4       0000015F         00000133         000000000003516A
1F5       FFFFFF48         00000109         0000000000019691
1F6       000000D4         FFFFFE6E         00000000000326D4
1F7       FFFFFFD8         000000B9         0000000000008BF1
1F8       0000000A         FFFFFF3F         00000000000091E5
1F9       FFFFFF41         0000023D         000000000005910A
1FA       000000DC         FFFFFE61         0000000000035DD1
1FB       FFFFFEBB         FFFFFF7A         000000000001E2BD
1FC       00000043         00000011         00000000000012AA
1FD       00000089         FFFFFFAB         000000000000658A
1FE       00000073         FFFFFF61         000000000000966A
1FF       FFFFFF1B         00000057         000000000000EA6A
000       FFFFFF5F         00000000         0000000000006541
001       000001A7         FFFFFFC1         000000000002CA72
002       0000007C         000000F9         0000000000012E41
003       FFFFFF08         FFFFFFF4         000000000000F0D0
004       000000C3         FFFFFF64         000000000000F399
005       FFFFFE4A         00000076         00000000000323C8
006       00000127         FFFFFF0B         0000000000023E6A
007       FFFFFFD7         0000013C         0000000000018CA1
008       FFFFFEF2         00000040         0000000000012CC4
009       00000042         FFFFFE82         0000000000024B08
00A       0000026A         FFFFFFD4         000000000005DB74
00B       FFFFFC82         00000293         000000000012D26D
00C       000001C7         FFFFFE8D         000000000005425A
00D       00000077         FFFFFE9F         0000000000021E12
00E       FFFFFF3D         000001B4         0000000000037B19
00F       000000E6         FFFFFF9A         000000000000F748
010       FFFFFF80         0000009D         000000000000A049
011       FFFFFEF0         FFFFFFBA         0000000000013424
012       00000109         FFFFFF23         000000000001D11A
013       0000005F         0000013F         000000000001B0C2
014       FFFFFF78         0000000E         0000000000004904
015       FFFFFF7F         FFFFFEA2         0000000000021F85
016       0000002D         00000104         0000000000010FF9
017       000000EE         FFFFFF64         0000000000013C54
018       FFFFFE3C         0000006C         0000000000034BA0
019       FFFFFFB0         00000003         0000000000001909
01A       FFFFFFC3         000000B5         0000000000008E82
01B       0000024B         FFFFFEE6         000000000006789D
01C       FFFFFF0B         0000004F         00000000000102DA
01D       00000085         000000A0         000000000000A919
01E       00000156         FFFFFEAB         0000000000038F1D
01F       FFFFFD90         000001E3         0000000000098049
020       FFFFFFEA         FFFFFE30         0000000000034AE4
021       0000023B         000001BE         000000000008029D
022       FFFFFF3D         FFFFFDE2         000000000005100D
023       0000002E         000002A3         000000000006FC0D
024       FFFFFFD8         FFFFFDD9         000000000004A831
025       FFFFFF3F         000000D6         0000000000014465
026       0000011E         000000C8         000000000001DBC4
027       FFFFFF0F         FFFFFE8B         000000000003025A
028       000000CD         000000C0         0000000000013429
029       FFFFFE06         00000016         000000000003EA08
02A       00000061         FFFFFF64         00000000000083D1
02B       00000004         000000F0         000000000000E110
02C       00000000         FFFFFFE1         00000000000003C1
02D       FFFFFF95         00000003         0000000000002CC2
02E       000000A0         FFFFFF1F         00000000000129C1
02F       FFFFFEAD         000000FA         000000000002B50D
030       00000044         0000001B         00000000000014E9
031       00000050         FFFFFFE4         0000000000001C10
032       FFFFFF44         FFFFFFCD         0000000000009439
033       FFFFFFE4         FFFFFF52         0000000000007954
034       FFFFFFF7         00000100         0000000000010051
035       FFFFFF6A         FFFFFF6C         000000000000AD74
036       FFFFFF78         00000104         0000000000015050
037       0000007A         FFFFFF71         0000000000008A05
038       FFFFFFDF         FFFFFF0C         000000000000ECD1
039       000000DD         0000013A         0000000000023FED
03A       0000001E         00000026         0000000000000928
